customer_id,revenue,f0_
22,291.27,1
47,1952.61,1
56,392.47,1
94,652.49,1
94,566.41,1
118,989.02,1
118,2396.52,1
251,913.88,1
262,2040.18,1
266,2913.6,1
398,1327.26,1
405,656.04,1
405,1097.28,1
405,2301.55,1
405,567.14,1
405,1520.84,1
405,30.34,1
405,3870.7,1
405,21114.29,1
405,5460.76,1
405,1534.37,1
405,3266.86,1
405,2323.86,1
405,1486.2,1
405,0.0,1
405,314.56,1
416,5616.1,1
440,309.45,1
440,1367.36,1
440,2573.63,1
440,6833.6,1
440,408.14,1
440,2402.71,1
440,0.0,1
440,4318.45,1
440,428.07,1
440,556.01,1
440,484.47,1
440,1390.09,1
440,1768.74,1
440,870.71,1
440,1406.05,1
440,1658.43,1
440,59.24,1
440,2304.83,1
440,126.64,1
440,1067.35,1
440,594.71,1
440,1762.01,1
440,6125.39,1
440,253.94,1
440,1127.08,1
440,4264.57,1
440,114.76,1
440,12521.94,1
440,607.91,1
440,1967.07,1
440,332.25,1
440,1136.78,1
440,2206.88,1
440,320.71,1
440,180.11,1
440,238.29,1
440,450.39,1
440,68203.35,1
440,574.56,1
440,1618.98,1
440,937.33,1
440,779.83,1
440,262.55,1
440,3912.8,1
440,44.81,1
440,4069.11,1
440,196.73,1
440,11758.61,1
440,1092.4,1
440,1190.11,1
440,3141.96,1
440,4729.39,1
440,352.57,1
440,894.06,1
440,3847.31,1
440,5516.87,1
440,0.0,1
440,630.58,1
440,11129.76,1
440,0.0,1
440,1107.82,1
440,914.75,1
440,39950.31,1
440,2448.08,1
440,5220.33,1
440,2464.55,1
440,28.39,1
440,1400.21,1
440,2211.89,1
440,76.62,1
440,914.47,1
440,446.76,1
440,3255.41,1
440,1905.22,1
440,4510.03,1
440,2810.6,1
440,1200.24,1
440,18341.14,1
440,2232.65,1
440,1603.78,1
440,1934.58,1
440,1366.55,1
440,509.72,1
440,1625.75,1
440,4746.83,1
440,0.0,1
440,862.66,1
440,2217.27,1
440,1239.72,1
440,0.0,1
440,1423.13,1
440,18807.21,1
440,4281.08,1
440,2476.86,1
440,5474.14,1
440,472.58,1
440,91.71,1
440,510.46,1
440,2648.51,1
440,4305.1,1
440,498.36,1
440,1646.0,1
440,3113.35,1
440,2228.38,1
440,3018.81,1
440,2368.43,1
440,1104.82,1
440,35.83,1
440,3472.39,1
440,800.19,1
440,9784.39,1
470,3310.41,1
480,49645.64,1
520,427.27,1
599,0.0,1
626,13431.87,1
661,3663.56,1
661,50.76,1
661,553.68,1
669,998.13,1
750,2406.05,1
761,2053.21,1
772,2096.57,1
814,2314.64,1
851,2311.42,1
862,813.2,1
869,0.0,1
871,321.93,1
881,41.79,1
906,0.0,1
925,1699.51,1
938,1346.18,1
994,2998.77,1
994,316.46,1
1018,991.12,1
1102,2226.93,1
1115,0.0,1
1156,3641.2,1
1195,9106.21,1
1199,14109.85,1
1209,141.76,1
1209,1876.42,1
1209,17127.75,1
1209,2100.92,1
1209,171.58,1
1209,5630.84,1
1209,2094.62,1
1209,1200.35,1
1209,2358.54,1
1209,302.7,1
1243,2287.48,1
1250,292.17,1
1273,525.79,1
1277,1858.25,1
1304,3288.12,1
1328,1763.5,1
1328,6805.37,1
1366,1054.22,1
1406,71.68,1
1435,2622.62,1
1472,2505.39,1
1505,1075.24,1
1505,4088.6,1
1521,16507.35,1
1521,2292.71,1
1521,0.0,1
1521,5980.69,1
1521,1617.91,1
1521,3830.89,1
1521,877.15,1
1521,3116.52,1
1521,803.47,1
1559,633.61,1
1559,1269.41,1
1564,0.0,1
1567,279.42,1
1567,231.95,1
1602,1336.18,1
1634,303.14,1
1638,3269.1,1
1638,1401.38,1
1643,1964.24,1
1645,0.0,1
1682,1072.32,1
1706,6067.62,1
1725,4601.79,1
1725,693.93,1
1739,783.08,1
1791,16.03,1
1810,1624.51,1
1812,1334.96,1
1816,8156.89,1
1830,1729.23,1
1851,2642.45,1
1854,2983.16,1
1854,1236.75,1
1854,133.21,1
1877,5626.19,1
1936,475.28,1
1969,660.53,1
1982,493.63,1
1992,2206.21,1
